amount, density
0.0000, 0.0000
0.0100, 0.5542
0.0200, 0.6077
0.0300, 0.6117
0.0400, 0.6157
0.0500, 0.6197
0.0600, 0.6237
0.0700, 0.6277
0.0800, 0.6317
0.0900, 0.6357
0.1000, 0.6397
0.1100, 0.6437
0.1200, 0.6477
0.1300, 0.6517
0.1400, 0.6557
0.1500, 0.6598
0.1600, 0.6638
0.1700, 0.6678
0.1800, 0.6718
0.1900, 0.6758
0.2000, 0.6798
0.2100, 0.6838
0.2200, 0.6878
0.2300, 0.6918
0.2400, 0.6958
0.2500, 0.6998
0.2600, 0.7038
0.2700, 0.7078
0.2800, 0.7118
0.2900, 0.7158
0.3000, 0.7198
0.3100, 0.7238
0.3200, 0.7278
0.3300, 0.7318
0.3400, 0.7358
0.3500, 0.7398
0.3600, 0.7438
0.3700, 0.7478
0.3800, 0.7518
0.3900, 0.7558
0.4000, 0.7598
0.4100, 0.7638
0.4200, 0.7678
0.4300, 0.7718
0.4400, 0.7758
0.4500, 0.7798
0.4600, 0.7838
0.4700, 0.7878
0.4800, 0.7918
0.4900, 0.7959
0.5000, 0.7999
0.5100, 0.8039
0.5200, 0.8079
0.5300, 0.8119
0.5400, 0.8159
0.5500, 0.8199
0.5600, 0.8239
0.5700, 0.8279
0.5800, 0.8319
0.5900, 0.8359
0.6000, 0.8399
0.6100, 0.8439
0.6200, 0.8479
0.6300, 0.8519
0.6400, 0.8559
0.6500, 0.8599
0.6600, 0.8639
0.6700, 0.8679
0.6800, 0.8719
0.6900, 0.8759
0.7000, 0.8799
0.7100, 0.8839
0.7200, 0.8879
0.7300, 0.8919
0.7400, 0.8959
0.7500, 0.8999
0.7600, 0.9039
0.7700, 0.9079
0.7800, 0.9119
0.7900, 0.9159
0.8000, 0.9199
0.8100, 0.9239
0.8200, 0.9279
0.8300, 0.9320
0.8400, 0.9360
0.8500, 0.9400
0.8600, 0.9440
0.8700, 0.9480
0.8800, 0.9520
0.8900, 0.9560
0.9000, 0.9600
0.9100, 0.9640
0.9200, 0.9680
0.9300, 0.9720
0.9400, 0.9760
0.9500, 0.9800
0.9600, 0.9840
0.9700, 0.9880
0.9800, 0.9920
0.9900, 0.9960