turns, count, cumulative
0, 0, 0
1, 61197, 61197
2, 116474, 177671
3, 105474, 283145
4, 80891, 364036
5, 57115, 421151
6, 36332, 457483
7, 25861, 483344
8, 15758, 499102
9, 11010, 510112
10, 7045, 517157
11, 14885, 532042
12, 18004, 550046
13, 16987, 567033
14, 13457, 580490
15, 11075, 591565
16, 11430, 602995
17, 11355, 614350
18, 9101, 623451
19, 9377, 632828
20, 11413, 644241
21, 23774, 668015
22, 29245, 697260
23, 27592, 724852
24, 18988, 743840
25, 13746, 757586
26, 9589, 767175
27, 6937, 774112
28, 5062, 779174
29, 4100, 783274
30, 3132, 786406
31, 3571, 789977
32, 3379, 793356
33, 3390, 796746
34, 2948, 799694
35, 2543, 802237
36, 2083, 804320
37, 2052, 806372
38, 1970, 808342
39, 2003, 810345
40, 1826, 812171
41, 2400, 814571
42, 2387, 816958
43, 2606, 819564
44, 2356, 821920
45, 2179, 824099
46, 1642, 825741
47, 1560, 827301
48, 1191, 828492
49, 1126, 829618
50, 170382, 1000000